WD11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E05000182,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000183,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000184,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000185,99.99999999999999,99.99999999999999,96.70789630751091,99.99999999999999,196.7078963075109,2.9999999999999996
E05000186,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000187,100.0,100.0,100.0,100.0,200.0,3.0
E05000188,100.0,100.0,100.0,100.0,200.0,3.0
E05000189,100.0,100.0,100.0,100.0,200.0,3.0
E05000190,100.0,100.0,100.0,100.0,200.0,3.0
E05000191,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000192,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000193,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000194,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000195,80.06334640849087,76.21473487512783,0.0,80.06334640849087,76.21473487512783,2.0
E05000196,99.76498903850921,99.76498903850921,32.51728062667891,99.76498903850921,132.28226966518815,2.858964609408594
E05000197,100.0,100.0,100.0,100.0,200.0,3.0
E05000198,99.99999999999999,99.99999999999999,20.1700569737464,99.99999999999999,120.1700569737464,2.6810009051750923
E05000199,91.40676603360643,95.24977888738037,0.0,96.77366167765686,89.88288324332991,2.0
E05000200,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000201,100.0,100.0,100.0,100.0,200.0,3.0
E05000202,100.0,100.0,45.3890507520167,100.0,145.38905075201671,2.800581742633867
E05000203,100.0,100.0,100.0,100.0,200.0,3.0
E05000204,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000205,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000206,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000207,100.00000000000001,100.00000000000001,71.76813660245129,100.00000000000001,171.7681366024513,2.9364546413090733
E05000208,100.0,100.0,100.0,100.0,200.0,3.0
E05000209,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000210,100.00000000000001,100.00000000000001,28.346405123568353,100.00000000000001,128.3464051235684,2.5059268035776183
E05000211,98.82606174328592,89.84213640315654,0.0,98.82606174328592,89.84213640315654,2.0
E05000212,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000213,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E05000214,100.0,100.0,100.0,100.0,200.0,3.0
E05000215,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000216,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000217,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000218,100.0,100.0,100.0,100.0,200.0,3.0
E05000219,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000220,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000221,100.0,100.0,100.0,100.0,200.0,3.0
E05000222,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000223,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0000000000000004
