"WD11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E05000057",34.9633157472541,0,6.4118297439923,41.3751454912464,0,2
"E05000058",96.8644022753171,0,0,96.8644022753171,0,1
"E05000059",24.7417370668626,0,1.53632090351977,25.5532334656849,0.724824504697516,2
"E05000060",43.1261707871158,0,0,43.1261707871158,0,1
"E05000061",43.0771222707786,0,82.0521886682297,99.9999999999952,25.129310939013,2
"E05000062",72.985013561222,0,34.9873380598355,73.1512747206599,34.8210769003976,2
"E05000063",87.7442376964577,38.2228593007375,21.2275061062958,98.1654872263165,49.0291158771745,3
"E05000064",12.2798832973122,0,0,12.2798832973122,0,1
"E05000065",2.87143833702653,0,0,2.87143833702653,0,1
"E05000066",74.7969990914089,0,0,74.7969990914089,0,1
"E05000067",64.379329524918,0,2.05427748274632,64.379329524918,2.05427748274633,2
"E05000068",30.4907672543059,0,3.23384887740116,30.6352789479729,3.08933718373424,2
"E05000069",0,0,0,0,0,0
"E05000070",99.9999999999952,0,0,99.9999999999952,0,1
"E05000071",28.494955749027,0,0,28.494955749027,0,1
"E05000072",35.2443911701237,0,27.499390060574,35.8537652784121,26.8900159522857,2
"E05000073",64.3966855250704,0,74.1379893617164,78.6223105597492,59.9123643270375,2
"E05000074",99.4643803996951,0,42.4058459730677,99.4643803996951,42.4058459730677,2
"E05000075",48.8787906111812,0,0,48.8787906111812,0,1
"E05000076",94.1248729106866,0,64.0550151179275,94.1248729106866,64.0550151179275,2
"E05000077",0,0,0,0,0,0
"E05000078",59.0753370453844,0,6.67865660867104,59.0753370453844,6.67865660867103,2
"E05000079",47.0523945159675,0,0,47.0523945159675,0,1
"E05000080",77.6772234996011,0,0,77.6772234996011,0,1
"E05000081",0.487034854495604,0,0,0.487034854495604,0,1
"E05000082",95.1263155634016,0,55.5667537343736,95.1263155634016,55.5667537343736,2
"E05000083",98.9331140202926,0,0,98.9331140202926,0,1
"E05000084",0,0,0,0,0,0
"E05000085",35.6848172655332,0,13.7645690777478,49.449386343281,7.105427357601e-15,2
"E05000086",83.076671901003,5.28809169149198,0,83.076671901003,5.28809169149199,2
"E05000087",86.7598918908834,0,2.58092600580315,87.7313247765934,1.60949312009319,2
"E05000088",75.0620177502947,10.9199652651058,1.85112887195034,75.9747376724684,11.8583742148825,3
"E05000089",88.0555698006435,69.3577167720421,3.96460162410219,92.9260944784099,68.4517937183779,3
"E05000090",48.9348305707323,0,0,48.9348305707323,0,1
"E05000091",99.8876548225791,27.2420951362872,96.4511050935693,99.9999999999963,123.580855052439,3
"E05000092",56.3074644039248,0,83.1063382658998,99.9999999999856,39.413802669839,2
"E05000093",65.2669921704041,0,0.00786955374243882,65.2669921704041,0.00786955374243803,2
"E05000094",99.999999999998,0,0,99.999999999998,0,1
"E05000095",99.9999999999924,0,0,99.9999999999924,0,1
"E05000096",71.2594494041076,0,5.11730439827515,71.2594494041076,5.11730439827515,2
"E05000097",99.284122914863,0,0,99.284122914863,0,1
"E05000098",100.000000000006,0,0,100.000000000006,0,1
"E05000099",89.0006299750266,0,0,89.0006299750266,0,1
"E05000100",83.7589134107058,37.1549263172679,14.6627582944021,83.8468581952671,51.7297398271087,3
"E05000101",94.5474176061805,0,0,94.5474176061805,0,1
"E05000102",96.6248571631715,16.8859017837995,0,96.6248571631715,16.8859017837995,2
"E05000103",66.4160623335853,37.1512994048636,0,66.4160623335853,37.1512994048636,2
"E05000104",99.7792283878705,0,0,99.7792283878705,0,1
"E05000105",22.5668184172099,11.9707800606197,48.2069195594203,64.7709664554063,17.9735515818436,3
"E05000106",12.1961772478254,0,44.5779385537344,45.0871568538616,11.6869589476983,2
"E05000107",29.3084059644963,0,0,29.3084059644963,0,1
"E05000108",2.21003480926954,0,9.09884565355811,9.09884565355811,2.21003480926955,2
"E05000109",89.7623167289025,0,47.3155583792274,92.5982076973053,44.4796674108246,2
"E05000110",0,3.79953081670073,0,3.79953081670073,0,1
"E05000111",0.712818641417512,0,0,0.712818641417512,0,1
"E05000112",99.5157544351521,0,60.9220091877497,100,60.4377636229014,2
"E05000113",65.4105219419218,0,0,65.4105219419218,0,1
"E05000114",26.7823572420064,2.81898851621768,14.6476842640464,30.553905770403,13.6951242518675,3
"E05000115",63.3377838031529,0.303053013697968,20.6432573489629,63.6408368168509,20.6432573489629,3
"E05000116",100.000000000008,0,0,100.000000000008,0,1
"E05000117",5.41559943327819,0,0,5.41559943327819,0,1
"E05000118",0,10.4108354611726,0,10.4108354611726,0,1
"E05000119",10.4973960360855,0,0.313154277064295,10.4976256574498,0.312924655699959,2
"E05000120",93.0085632883062,0,26.073710534582,94.0555509997979,25.0267228230903,2
"E05000121",45.48398430784,0,0,45.48398430784,0,1
"E05000122",0,54.8951310649012,0,54.8951310649012,0,1
"E05000123",98.3969135297885,0,0.336652338038221,98.3969135297885,0.33665233803822,2
"E05000124",0,22.5496967634285,0,22.5496967634285,0,1
"E05000125",87.2433466486129,0,4.31891087782095,87.2433466486129,4.31891087782095,2
"E05000126",98.8415204290671,0,0.692633786392117,98.8415204290671,0.692633786392122,2
"E05000127",39.3551022290592,0,0,39.3551022290592,0,1
"E05000128",99.9999999999866,0,0,99.9999999999866,0,1
"E05000129",99.999999999997,0,0,99.999999999997,0,1
"E05000130",99.9999999999862,0,0,99.9999999999862,0,1
"E05000131",100.000000000004,0,0,100.000000000004,0,1
"E05000132",99.9999999999978,0,0,99.9999999999978,0,1
"E05000133",100.000000000002,0,0,100.000000000002,0,1
"E05000134",99.9999999999921,0,0,99.9999999999921,0,1
"E05000135",89.8582030641592,0,0,89.8582030641592,0,1
"E05000136",100.000000000008,0,0,100.000000000008,0,1
"E05000137",87.1150750688022,0,0,87.1150750688022,0,1
"E05000138",99.999999999988,0,0,99.999999999988,0,1
"E05000139",99.999999999996,0,0,99.999999999996,0,1
"E05000140",99.999999999978,0,0,99.999999999978,0,1
"E05000141",99.9999999999956,0,0,99.9999999999956,0,1
"E05000142",99.9999999999992,0,0,99.9999999999992,0,1
"E05000143",99.9999999999964,0,0,99.9999999999964,0,1
"E05000144",100.000000000001,0,0,100.000000000001,0,1
"E05000145",100.000000000002,0,0,100.000000000002,0,1
"E05000146",99.9999999999929,0,0,99.9999999999929,0,1
"E05000147",99.9999999999974,0,34.8766595811331,99.9999999999974,34.8766595811331,2
"E05000148",99.9999999999984,0,99.0783113767293,99.9999999999984,99.0783113767293,2
"E05000149",81.5079894044163,0,0,81.5079894044163,0,1
"E05000150",17.3561186638975,0,0,17.3561186638975,0,1
"E05000151",68.1840152536208,14.9128317297184,23.6677923147261,80.6344283651316,26.1302109329337,3
"E05000152",87.2601679173682,0,0,87.2601679173682,0,1
"E05000153",80.0497096033506,0,0,80.0497096033506,0,1
"E05000154",0,0,0,0,0,0
"E05000155",11.8317200371023,0,0,11.8317200371023,0,1
"E05000156",47.3118349673077,15.6978497956004,0,47.3118349673077,15.6978497956004,2
"E05000157",0,0,0,0,0,0
"E05000158",93.8598354015523,3.42882052864763,4.26001027490266,94.0567230898658,7.49194311523672,3
"E05000159",81.2377385869346,68.355412175712,0,82.5195304637637,67.0736202988829,2
"E05000160",26.9689486454818,0.975201506884088,0,27.053735942141,0.890414210224808,2
"E05000161",100.000000000001,0,41.0474811705606,100.000000000001,41.0474811705606,2
"E05000162",1.38085283983847,0,0,1.38085283983847,0,1
"E05000163",97.6639236285293,0,2.74553320282845,97.6639236285293,2.74553320282845,2
"E05000164",99.8986153779116,0,8.91675452027504,99.8986153779116,8.91675452027505,2
"E05000165",55.2858352653474,0,97.1343014958207,99.542566268178,52.87757049299,2
"E05000166",75.3371712335477,0,10.7913873547157,80.529388275447,5.59917031281643,2
"E05000167",62.6101342356134,1.89571665543993,0,63.3228646053182,1.18298628573508,2
"E05000168",97.2851720071771,0,17.765781667635,97.2851720071771,17.765781667635,2
"E05000169",100.000000000006,0,49.9672261795906,100.000000000006,49.9672261795906,2
"E05000170",98.0403392562325,0,11.6323629016676,99.7764764797653,9.89622567813478,2
"E05000171",35.2669292285296,0,55.3330000241602,86.6150644347006,3.98486481798926,2
"E05000172",29.3131556534361,3.22813904183267,0,32.5412946952687,0,2
"E05000173",100.000000000008,0,0,100.000000000008,0,1
"E05000174",98.103221826149,0,0,98.103221826149,0,1
"E05000175",87.4088582226775,0,45.5821632448284,92.8433630662654,40.1476584012405,2
"E05000176",99.8612405031282,4.87644109662687,0,100.000000000001,4.73768159975404,2
"E05000177",100.000000000001,13.9365823234384,0,100.000000000001,13.9365823234384,2
"E05000178",98.0801798866786,0,1.44125376302775,98.0801798866786,1.44125376302775,2
"E05000179",41.8535341104512,0,8.86338202555435,49.526450477283,1.19046565872254,2
"E05000180",73.2863297365966,0,0.0825408460786535,73.366851798137,0.00201878453822246,2
"E05000181",67.2559599693694,67.6492962568216,0,93.5341186823183,41.3711375438726,2
"E05000182",91.5837927589908,1.37694131740015,0,91.5837927589908,1.37694131740015,2
"E05000183",64.951387892178,0,7.01607858013156,68.014183195329,3.95328327698051,2
"E05000184",47.3606834567453,0,0,47.3606834567453,0,1
"E05000185",85.0937332257115,17.7762774468474,0,85.0937332257115,17.7762774468474,2
"E05000186",67.0876814051345,0.0322988745354314,0,67.0876814051345,0.032298874535428,2
"E05000187",28.8835203818459,0,83.8924794834267,99.9979932627203,12.7780066025523,2
"E05000188",99.9547343377666,0,3.3282127565179,99.9547343377666,3.3282127565179,2
"E05000189",66.6432289473239,20.3539221354051,0,78.7342458759076,8.26290520682143,2
"E05000190",96.622158306777,45.2055905145121,0,99.9999999999955,41.8277488212937,2
"E05000191",95.2795743267321,0,56.9012960894027,100,52.1808704161348,2
"E05000192",100.000000000007,0,0,100.000000000007,0,1
"E05000193",85.6488812596859,0,0,85.6488812596859,0,1
"E05000194",52.7889134522222,0.546847611562494,20.6025279297425,72.8497066062694,1.08858238725776,3
"E05000195",3.85004506370611,0,0.0757625256422249,3.85565068268287,0.0701569066654613,2
"E05000196",30.9810278306829,0,0,30.9810278306829,0,1
"E05000197",56.9335876852281,47.9878284394464,0,80.7197705705186,24.2016455541559,2
"E05000198",55.5876707236337,21.4951368016146,0,68.2587689049902,8.82403862025805,2
"E05000199",98.7617670434213,0,1.76892113561989,99.5264119517155,1.00427622732572,2
"E05000200",84.9787994862266,0,43.6368901406462,91.168838190778,37.4468514360947,2
"E05000201",30.9094091187712,0,0,30.9094091187712,0,1
"E05000202",53.7285304372986,0,1.52540942973321,53.7285304372986,1.52540942973322,2
"E05000203",0.341148382165855,15.433724402326,0,15.7748727844919,-1.77635683940025e-15,2
"E05000204",13.7825671521196,0,0,13.7825671521196,0,1
"E05000205",43.7311230649323,0,0,43.7311230649323,0,1
"E05000206",0,55.8337188541022,0,55.8337188541022,0,1
"E05000207",21.1483078674351,45.8201351078207,48.8955249936207,93.4912680423342,22.3726999265423,3
"E05000208",58.4158128708602,0,0,58.4158128708602,0,1
"E05000209",27.4431530954442,3.63998443449876,0,29.1051927835509,1.9779447463921,2
"E05000210",58.6089889861426,0,65.6422777672718,78.7701398267926,45.4811269266218,2
"E05000211",99.4302192233898,0,0,99.4302192233898,0,1
"E05000212",69.2841034654369,49.4901173867431,0,79.3832456037273,39.3909752484527,2
"E05000213",68.618038226293,0,0,68.618038226293,0,1
"E05000214",18.2434230492499,0,0,18.2434230492499,0,1
"E05000215",71.7489707385415,0,0,71.7489707385415,0,1
"E05000216",34.1688874365302,0,0,34.1688874365302,0,1
"E05000217",14.4822321427453,0,0,14.4822321427453,0,1
"E05000218",77.3394414651118,0,0,77.3394414651118,0,1
"E05000219",33.0446463145228,0,0,33.0446463145228,0,1
"E05000220",99.9999999999997,0,0,99.9999999999997,0,1
"E05000221",99.999999999989,54.4149989214834,0,99.999999999989,54.4149989214834,2
"E05000222",96.0268615121682,0,35.7581329937348,96.8466209287945,34.9383735771085,2
"E05000223",45.517141884732,0,0,45.517141884732,0,1
"E05000224",99.8533308919315,0,0,99.8533308919315,0,1
"E05000225",78.7260568838379,0,0,78.7260568838379,0,1
"E05000226",98.347466161372,0,0,98.347466161372,0,1
"E05000227",22.4453846031492,0.589480818772998,0,22.9226696535924,0.112195768329769,2
"E05000228",64.0508255597047,0.423969592779525,0,64.0508255597047,0.423969592779528,2
"E05000229",74.9872086938512,62.1523120648263,0,79.1691520724343,57.9703686862432,2
"E05000230",80.0589734153428,56.832795353511,0,80.0589734153428,56.832795353511,2
"E05000231",99.9999999999899,0,42.6016565635076,99.9999999999899,42.6016565635075,2
"E05000232",100.000000000014,0,0,100.000000000014,0,1
"E05000233",96.5561835114568,0,99.9999999999981,99.9999999999981,96.5561835114568,2
"E05000234",100.000000000002,0,0,100.000000000002,0,1
"E05000235",99.9999999999963,0,34.3838853403483,99.9999999999963,34.3838853403483,2
"E05000236",99.9999999999989,0,0,99.9999999999989,0,1
"E05000237",99.9999999999933,0,99.9999999999933,99.9999999999933,99.9999999999933,2
"E05000238",99.9999999999799,0,37.0849859775185,99.9999999999799,37.0849859775185,2
"E05000239",100.000000000008,0,0,100.000000000008,0,1
"E05000240",100,0,0,100,0,1
"E05000241",70.6627049020968,0,15.4273620354563,71.7204340524992,14.3696328850539,2
"E05000242",99.9999999999933,0,38.9227786015797,99.9999999999933,38.9227786015797,2
"E05000243",99.9999999999944,0,0,99.9999999999944,0,1
"E05000244",92.6281540786069,0,23.7926176481935,98.5963658574094,17.824405869391,2
"E05000245",99.9999999999943,0,56.9008797222878,99.9999999999943,56.9008797222878,2
"E05000246",83.221134367172,0,14.9319062490386,97.7686054716796,0.384435144531025,2
"E05000247",100.000000000002,0,0,100.000000000002,0,1
"E05000248",91.0531920458454,0,100.000000000001,100.000000000001,91.0531920458455,2
"E05000249",85.2047194684318,0,44.5342222203619,99.9999999999944,29.7389416887992,2
"E05000250",99.9999999999979,0,99.9999999999979,99.9999999999979,99.9999999999979,2
"E05000251",100.000000000002,0,100.000000000002,100.000000000002,100.000000000002,2
"E05000252",100.000000000015,0,100.000000000015,100.000000000015,100.000000000015,2
"E05000253",87.6897430719292,0,28.4840435525671,99.3569963419305,16.8167902825658,2
"E05000254",100.000000000008,0,64.3008799435125,100.000000000008,64.3008799435126,2
"E05000255",100.000000000005,0,48.0836968403758,100.000000000005,48.0836968403758,2
"E05000256",99.9999999999933,0,99.9999999999933,99.9999999999933,99.9999999999933,2
"E05000257",99.9999999999948,0,0,99.9999999999948,0,1
"E05000258",99.9999999999849,0,99.9999999999849,99.9999999999849,99.9999999999849,2
"E05000259",100.000000000001,0,6.13367847771344,100.000000000001,6.13367847771343,2
"E05000260",100.000000000004,0,0,100.000000000004,0,1
