MSOA11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E02000471,100.00000000000001,50.917680426155016,100.00000000000001,100.00000000000001,150.91768042615502,3.0
E02000472,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000473,100.0,0.0,51.94365248982612,100.0,51.94365248982612,1.8333333333333333
E02000474,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000475,100.0,4.26363203376651,100.0,100.0,104.26363203376651,2.3333333333333335
E02000476,99.99999999999999,99.44129083099816,99.99999999999999,99.99999999999999,199.44129083099816,3.0
E02000477,100.00000000000001,9.16006870795367,100.00000000000001,100.00000000000001,109.16006870795367,2.6666666666666665
E02000478,99.99999999999999,0.0,50.61278199835565,99.99999999999999,50.61278199835565,2.0
E02000479,100.0,97.57469587907019,100.0,100.0,197.5746958790702,3.0
E02000480,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000481,59.262540513585826,0.0,0.0,59.262540513585826,0.0,1.0
E02000482,100.0,0.0,0.0,100.0,0.0,1.0
E02000483,100.0,9.718673968074587,99.67099504297381,100.0,109.38966901104841,2.4
E02000484,99.99999999999999,95.95214043475893,99.99999999999999,99.99999999999999,195.95214043475892,3.0
E02000485,100.00000000000001,0.0,18.22323988737756,100.00000000000001,18.22323988737756,1.6
E02000486,99.99999999999999,67.51955263425629,99.99999999999999,99.99999999999999,167.51955263425626,3.0
E02000487,100.00000000000001,0.12347089706318072,7.686063342183001,100.00000000000001,7.80953423924618,1.4
E02000488,100.0,66.76659958242895,100.0,100.0,166.76659958242894,2.8
E02000489,100.0,98.14419269673,100.0,100.0,198.14419269673,3.0
E02000490,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000491,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000492,100.00000000000001,18.812081295633877,88.48324872407389,100.00000000000001,107.29533001970775,2.75
E02000493,100.0,60.75915705522906,100.0,100.0,160.75915705522905,3.0
E02000494,100.0,100.0,0.0,100.0,100.0,2.0
E02000495,100.00000000000001,100.00000000000001,0.0,100.00000000000001,100.00000000000001,2.0
E02000496,93.44708218639711,93.15740354226473,0.0,93.44708218639711,93.15740354226473,2.0
E02000497,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E02000498,100.00000000000001,100.00000000000001,0.0,100.00000000000001,100.00000000000001,2.0
E02000499,100.00000000000003,100.00000000000003,22.776929079976668,100.00000000000003,122.7769290799767,2.6
E02000500,100.0,100.0,0.0,100.0,100.0,2.0
E02000501,100.0,100.0,36.12710564736645,100.0,136.12710564736645,2.4
E02000502,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E02000503,100.0,100.0,47.51341060760408,100.0,147.51341060760407,2.5714285714285716
E02000504,100.00000000000001,100.00000000000001,0.0,100.00000000000001,100.00000000000001,2.0
E02000506,100.0,100.0,0.0,100.0,100.0,2.0
E02000507,100.00000000000001,100.00000000000001,0.0,100.00000000000001,100.00000000000001,2.0
E02000508,100.0,100.0,0.0,100.0,100.0,2.0
E02000509,94.3039493610286,93.89071727695354,0.0,94.47189511348789,93.72277152449429,2.0
E02000510,99.99999999999997,99.99999999999997,0.0,99.99999999999997,99.99999999999997,2.0
E02000511,99.99999999999999,99.99999999999999,14.145847504958695,99.99999999999999,114.1458475049587,2.6666666666666665
