"MSOA11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types","cluster","imd_score","income","employment","education","health","crime","barriers","living_environment"
"E02000790",100.000000000005,61.8665358208634,0,100.000000000005,61.8665358208634,2,"2",5.8144619149587,0.0376066075252371,0.0328092688895687,0.588672682777608,-1.81192704190884,-0.260789996940961,13.0616446925665,33.4485110125421
"E02000791",96.6383969334838,0,0,96.6383969334838,0,1,"1",6.81388091579594,0.030930393362016,0.0237656730178242,0.514076674861709,-2.03288660110633,-0.100094499078058,19.4582688998156,36.7458638598648
"E02000792",99.9999999999947,2.63582581212414,0,99.9999999999947,2.63582581212414,2,"1",7.05094523241118,0.0409977531245612,0.0339293638533914,0.55487375368628,-1.77470172728549,-0.0799792164021907,19.001602443477,34.9893781772223
"E02000793",100.000000000007,23.5267384714742,0,100.000000000007,23.5267384714742,2,"1",12.1524741699628,0.0965344600263694,0.0707583603020496,7.02471149466619,-1.16955040153422,0.258859043509529,19.8612585400935,25.76762843102
"E02000794",100.000000000002,89.3076012228907,0,100.000000000002,89.3076012228907,2,"2",7.12379619326501,0.0440874084919473,0.0420090775988287,1.82336676427526,-1.80676456808199,-0.0488515373352855,19.4664837481698,30.554455636896
"E02000795",18.4833492536731,0,0,18.4833492536731,0,1,"4",8.9011045704368,0.0442529649985537,0.0432729245010124,2.67250752097194,-2.11975238646225,0.285577523864622,23.9729532831935,23.9098333815447
"E02000796",100.000000000004,0,0,100.000000000004,0,1,"1",16.6216064570783,0.132810523343373,0.0935317206325301,13.9131731927711,-0.810430252259036,0.218085184487952,24.6503522213855,23.9499426769578
"E02000797",99.9999999999953,9.86465263768596,0,99.9999999999953,9.86465263768596,2,"1",7.76051908801697,0.0492480116648993,0.0385512990455992,1.35128645281018,-1.50409040296925,-0.10132211028632,15.4179733563097,39.4733852067869
"E02000798",87.3316580345686,0,0.00276021577592722,87.3316580345686,0.00276021577592189,2,"1",10.5174579324463,0.0765012282497441,0.0622225179119754,4.30619754350051,-0.997358751279427,0.164705629477994,20.8937354145343,24.4034832139202
"E02000799",99.3551638593103,0,25.6832777693669,99.9999999999955,25.0384416286817,2,"1",6.58813519248257,0.0432668990603213,0.0435847226432252,0.539721279175508,-1.68889951500455,0.0178401030615338,18.6917206729312,23.7504757502273
"E02000800",99.8076677842974,0,1.97146506497166,99.8076677842974,1.97146506497165,2,"1",16.8707801549244,0.139992622648469,0.106265953522685,11.7563611213574,-0.74626337144965,0.0163393581704168,26.1101125046108,20.2607089634821
"E02000801",95.6689604000897,0,95.6868449038632,100.000000000011,91.3558053039423,2,"3",6.18972671242471,0.0496117103235747,0.0417709763272167,1.15527104636504,-1.48884577671943,-0.35863748424149,17.4692300042023,26.9259033478078
"E02000802",99.9999999999979,0,61.3390941859643,99.9999999999979,61.3390941859643,2,"3",8.46985492596811,0.0712444476082005,0.0552464407744875,1.29346141799544,-1.16034467539863,-0.0432937072892939,18.1310956719818,27.6239820615034
