lsoa_code,imd_score,income,employment,education,health,crime,barriers,living_environment
E01014900,14.204,0.128,0.12,10.8,-0.501,-0.054,13.351,12.71
E01014959,11.856,0.102,0.073,27.862,-0.624,0.025,7.613,7.212
E01014960,16.935,0.129,0.092,39.314,-0.817,0.398,13.234,9.67
E01014961,18.657,0.145,0.114,36.742,-0.313,0.138,16.706,6.407
E01014968,26.09,0.195,0.142,49.009,0.378,-0.213,21.053,8.743
E01014865,14.399,0.11,0.085,18.701,-1.126,-0.643,30.506,18.214
E01014869,3.663,0.052,0.046,2.291,-1.423,-0.853,12.496,11.422
E01014870,11.989,0.061,0.047,10.448,-1.142,-0.048,34.487,30.195
E01014871,7.974,0.09,0.057,13.103,-1.071,-0.159,7.633,12.067
E01014890,10.402,0.064,0.054,4.042,-1.386,-1.267,30.741,38.526
E01014891,17.093,0.075,0.047,15.754,-1.264,-0.487,45.81,44.298
E01014955,9.358,0.084,0.062,19.487,-0.936,-0.296,18.904,6.057
E01014956,6.321,0.044,0.061,20.21,-1.151,-0.482,10.106,6.166
E01014957,7.468,0.056,0.061,22.583,-1.649,-0.441,14.123,7.316
E01014974,12.677,0.098,0.101,17.703,-0.837,0.196,8.812,13.228
E01014977,40.345,0.289,0.234,46.522,0.695,0.574,15.898,35.388
E01014922,13.914,0.102,0.092,28.653,-0.617,0.179,7.777,11.754
E01014923,16.739,0.14,0.119,20.317,-0.289,0.283,9.903,12.309
E01014924,23.26,0.148,0.119,28.306,-0.076,1.02,16.47,24.906
E01014973,20.676,0.177,0.141,32.031,-0.317,0.204,14.862,5.719
E01014975,15.53,0.107,0.091,22.462,-0.684,0.734,10.784,17.725
E01014976,29.685,0.222,0.19,28.89,0.246,0.879,17.218,15.045
E01014925,19.871,0.151,0.106,28.821,-0.276,0.614,16.999,17.202
E01014926,31.35,0.241,0.205,51.167,-0.006,0.344,19.598,6.161
E01014927,19.608,0.169,0.113,27.865,-0.06,0.307,15.007,11.132
E01014928,22.053,0.164,0.13,36.459,-0.227,0.336,23.004,8.153
E01014958,22.575,0.179,0.128,34.733,0.25,0.338,16.392,7.213
E01014915,17.795,0.137,0.111,26.6,-0.12,0.537,11.337,7.447
E01015003,9.297,0.063,0.083,16.492,-0.792,-0.167,15.894,7.525
E01015005,18.751,0.134,0.114,22.722,-0.367,0.604,14.15,22.147
E01015007,26.404,0.182,0.127,30.721,-0.02,1.397,16.634,14.328
E01015008,15.628,0.121,0.084,32.525,-0.217,-0.24,15.298,15.205
E01014943,7.511,0.066,0.063,17.668,-0.919,-0.394,11.915,6.651
E01014944,3.495,0.037,0.027,11.189,-1.93,-0.028,7.336,2.259
E01014972,11.855,0.079,0.073,14.632,-0.632,0.274,26.092,6.234
E01015002,15.306,0.112,0.087,30.467,-0.482,0.275,18.567,7.223
E01015004,13.441,0.098,0.092,18.214,-0.448,0.504,15.963,4.903
E01015006,17.538,0.138,0.119,25.358,-0.442,0.353,19.29,3.701
E01014936,9.452,0.093,0.071,20.071,-0.613,-0.55,10.066,6.181
E01014938,9.632,0.097,0.071,25.403,-0.963,-0.462,7.624,2.366
E01014939,15.54,0.102,0.084,36.316,-0.824,0.385,10.571,18.114
E01014940,5.364,0.044,0.047,16.353,-1.185,-0.065,10.686,1.363
E01014941,28.536,0.214,0.156,57.327,-0.119,0.371,18.415,10.846
E01014942,27.464,0.212,0.173,48.377,-0.161,0.193,20.178,8.928
E01014945,13.769,0.118,0.097,24.281,-0.301,0.071,8.412,2.888
E01014916,12.933,0.102,0.09,15.878,-0.585,0.494,10.51,10.843
E01014917,15.003,0.104,0.091,15.495,-0.376,0.878,12.416,11.486
E01014918,8.072,0.056,0.067,17.425,-0.891,-0.484,19.556,6.602
E01014919,6.715,0.049,0.064,15.737,-1.211,0.129,7.491,4.224
E01014920,5.865,0.061,0.066,9.148,-1.191,-0.201,8.873,4.414
E01014921,8.716,0.061,0.075,14.52,-0.676,-0.005,14.329,7.165
E01014866,5.234,0.055,0.051,8.937,-1.204,-0.588,19.156,2.862
E01014931,8.518,0.072,0.055,17.969,-0.446,-0.077,12.793,6.2
E01014932,4.067,0.048,0.054,6.798,-1.244,-0.964,15.733,3.404
E01014933,5.364,0.049,0.051,7.972,-1.435,-1.117,24.864,3.464
E01014934,3.35,0.048,0.04,7.397,-1.146,-0.456,2.897,4.637
E01014935,5.317,0.042,0.042,12.978,-1.161,0.108,12.693,3.704
E01014937,5.025,0.057,0.048,13.964,-1.242,-0.525,10.499,3.704
E01020144,3.92,0.048,0.048,6.197,-0.466,-0.96,9.607,3.029
E01020145,15.88,0.073,0.076,16.915,-0.153,-0.378,33.832,31.334
E01020146,8.75,0.067,0.063,10.59,0.086,-0.261,9.201,10.276
E01020149,20.684,0.116,0.085,18.01,0.063,-0.827,38.719,40.203
E01020148,18.244,0.086,0.091,6.679,-0.349,-0.603,31.635,57.028
E01020157,20.165,0.083,0.076,3.761,-1.066,-0.663,46.598,61.334
E01020160,15.011,0.082,0.074,5.629,-0.616,-0.142,33.364,39.854
E01020176,11.629,0.11,0.082,3.778,-0.346,-0.216,3.538,30.078
E01020177,19.905,0.183,0.135,17.715,0.309,-0.049,9.725,12.418
E01020180,23.768,0.204,0.175,14.562,0.245,0.3,10.584,19.2
E01020181,15.453,0.133,0.134,11.468,0.083,-0.361,11.069,8.164
E01020182,19.543,0.163,0.119,14.643,-0.323,-0.55,30.36,24.078
E01020183,21.803,0.155,0.151,7.893,0.152,0.285,7.942,42.552
E01020184,23.161,0.186,0.167,3.881,0.13,0.32,11.747,38.468
E01020153,17.707,0.087,0.096,9.446,-0.458,-0.466,29.632,51.593
E01020156,11.02,0.077,0.077,4.247,-1.206,-0.888,25.555,34.215
E01020170,9.665,0.084,0.091,8.608,-0.564,-0.789,12.635,15.991
E01020188,16.724,0.073,0.059,4.965,-1.021,-1.34,46.998,48.905
E01020161,15.532,0.134,0.108,12.838,-0.079,-0.006,11.505,19.833
E01020162,6.565,0.054,0.061,10.402,-0.677,-1.565,20.554,7.9
E01020163,5.974,0.062,0.064,6.208,-0.874,-1.163,20.997,2.632
E01020164,12.056,0.116,0.097,7.297,-0.081,-0.841,10.04,18.083
E01020165,3.901,0.06,0.036,8.194,-0.714,-1.526,8.899,6.415
E01020166,4.558,0.045,0.046,6.122,-0.504,-1.0,15.681,7.505
